ag0000014110.fit 2022-11-09 19:50:02.263 PLATE_B 742.100  797.800  940.600  439.300  433.500  516.100  452.000  704.200  771.800  284.800  549.200  318.000  928.800  671.300  697.200  538.900 
ag0000014114.fit 2022-11-09 19:59:07.400 PLATE_B 742.100  799.100  941.900  440.100  434.900  516.800  452.000  704.200  775.100  283.200  550.700  318.700  929.900  671.900  698.700  539.600 
ag0000014129.fit 2022-11-10 22:10:38.236 PLATE_B 741.100  798.400  941.000  439.200  433.800  515.900  452.000  704.200  773.900  282.200  549.500  317.800  929.000  671.000  697.600  538.800 
ag0000014328.fit 2022-11-15 21:05:35.792 PLATE_B 742.800  798.500  942.600  439.400  435.600  516.100  452.000  704.200  775.800  282.400  551.300  318.000  930.600  671.200  699.400  538.900 
ag0000014388.fit 2022-11-16 00:58:58.473 PLATE_B 736.600  799.000  936.500  439.800  429.400  516.600  452.000  704.200  769.700  282.900  545.100  318.500  924.500  671.600  693.200  539.400 
ag0000014390.fit 2022-11-16 02:19:53.764 PLATE_A 723.800  765.900  729.300  352.100  845.000  577.000  319.700  673.500  558.700  561.400  330.000  442.200  548.000  305.000  498.300  819.700 
ag0000014424.fit 2022-11-16 06:34:14.541 PLATE_A 716.100  763.600  721.800  350.000  845.000  577.000  312.300  671.300  551.000  560.000  319.000  440.500  548.000  305.000  490.800  817.400 
ag0000014431.fit 2022-11-16 19:48:53.831 PLATE_B 742.200  799.300  942.100  440.200  435.000  516.900  452.000  704.200  775.200  283.200  550.800  318.900  930.100  672.000  698.800  539.800 
ag0000014461.fit 2022-11-17 01:35:12.092 PLATE_A 716.100  763.600  721.800  350.000  845.000  577.000  312.300  671.300  536.400  491.000  319.000  440.500  548.000  305.000  490.800  817.400 
ag0000014462.fit 2022-11-17 01:59:23.606 PLATE_A 729.400  765.700  734.900  351.800  845.000  577.000  325.300  673.300  564.000  562.000  332.100  442.500  548.000  305.000  503.800  819.500 
ag0000014481.fit 2022-11-17 04:29:41.359 PLATE_A 726.000  764.300  731.500  350.400  845.000  577.000  321.800  672.000  560.700  560.700  328.700  441.300  548.000  305.000  500.500  818.100 
ag0000014504.fit 2022-11-17 05:55:52.689 PLATE_A 716.800  766.500  722.400  352.400  845.000  577.000  312.800  674.100  551.600  562.800  319.600  443.300  548.000  305.000  491.200  820.200 
ag0000014524.fit 2022-11-18 02:13:29.526 PLATE_A 724.800  766.400  730.300  352.400  845.000  577.000  320.500  674.100  559.300  562.800  319.600  443.300  548.000  305.000  499.100  820.300 
ag0000014562.fit 2022-11-18 05:15:10.653 PLATE_A 724.300  761.800  729.800  348.000  845.000  577.000  320.100  669.400  559.000  558.100  319.600  443.300  548.000  305.000  498.600  815.600 
ag0000014643.fit 2022-11-19 00:08:58.582 PLATE_B 736.600  799.000  936.500  439.800  429.300  516.600  452.000  704.200  769.600  282.800  545.100  318.500  924.600  671.600  693.200  539.400 
